"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:CC","endoplasmic reticulum lumen","GO:0005788","0.000010599545014958894","4.974712776408208","9","192","5","12533","LOC_OS01G67054,LOC_OS01G74580,LOC_OS02G02410,LOC_OS07G14270,LOC_OS11G09280"
"GO:CC","intracellular","GO:0005622","0.00006878729858866768","4.162491745806566","5764","192","122","12533","LOC_OS01G04200,LOC_OS01G13080,LOC_OS01G16350,LOC_OS01G34080,LOC_OS01G37690,LOC_OS01G38510,LOC_OS01G50010,LOC_OS01G51410,LOC_OS01G52260,LOC_OS01G64960,LOC_OS01G66000,LOC_OS01G67054,LOC_OS01G67330,LOC_OS01G68950,LOC_OS01G70820,LOC_OS01G74190,LOC_OS01G74580,LOC_OS02G01030,LOC_OS02G01280,LOC_OS02G02400,LOC_OS02G02410,LOC_OS02G04160,LOC_OS02G09060,LOC_OS02G10310,LOC_OS02G12350,LOC_OS02G24604,LOC_OS02G39160,LOC_OS02G39870,LOC_OS02G47110,LOC_OS02G48350,LOC_OS02G51020,LOC_OS02G52270,LOC_OS02G53320,LOC_OS02G56920,LOC_OS03G04970,LOC_OS03G06630,LOC_OS03G07570,LOC_OS03G08010,LOC_OS03G12370,LOC_OS03G13750,LOC_OS03G16874,LOC_OS03G20790,LOC_OS03G21490,LOC_OS03G31300,LOC_OS03G38960,LOC_OS03G38970,LOC_OS03G49430,LOC_OS03G50130,LOC_OS03G51920,LOC_OS03G53340,LOC_OS03G54860,LOC_OS03G56810,LOC_OS03G61960,LOC_OS03G64210,LOC_OS04G18090,LOC_OS04G32650,LOC_OS04G32950,LOC_OS04G35790,LOC_OS04G36070,LOC_OS04G36750,LOC_OS04G41560,LOC_OS04G41910,LOC_OS04G58710,LOC_OS05G02010,LOC_OS05G09550,LOC_OS05G28200,LOC_OS05G34050,LOC_OS05G34770,LOC_OS05G35330,LOC_OS05G38710,LOC_OS05G46290,LOC_OS05G47550,LOC_OS05G49140,LOC_OS05G51110,LOC_OS06G02000,LOC_OS06G02620,LOC_OS06G06490,LOC_OS06G14240,LOC_OS06G29400,LOC_OS06G36560,LOC_OS06G36930,LOC_OS06G40940,LOC_OS06G41770,LOC_OS06G51220,LOC_OS07G08840,LOC_OS07G08970,LOC_OS07G14270,LOC_OS07G44740,LOC_OS07G48160,LOC_OS08G01180,LOC_OS08G03290,LOC_OS08G24420,LOC_OS08G25090,LOC_OS08G29710,LOC_OS08G39140,LOC_OS09G08464,LOC_OS09G11250,LOC_OS09G19952,LOC_OS09G26730,LOC_OS09G33780,LOC_OS09G35790,LOC_OS09G38370,LOC_OS09G38620,LOC_OS09G39380,LOC_OS09G39680,LOC_OS10G28340,LOC_OS10G28360,LOC_OS10G32550,LOC_OS10G39410,LOC_OS10G41710,LOC_OS10G41820,LOC_OS11G09160,LOC_OS11G09280,LOC_OS11G24560,LOC_OS11G29200,LOC_OS11G37980,LOC_OS12G02910,LOC_OS12G15470,LOC_OS12G17910,LOC_OS12G32986,LOC_OS12G39860,LOC_OS12G41930"
"GO:CC","endomembrane system","GO:0012505","0.00010099981462505075","3.995679423320243","622","192","27","12533","LOC_OS01G38510,LOC_OS01G67054,LOC_OS01G67330,LOC_OS01G74580,LOC_OS02G02410,LOC_OS02G48350,LOC_OS02G56920,LOC_OS03G13750,LOC_OS03G50130,LOC_OS04G32950,LOC_OS04G36750,LOC_OS05G09550,LOC_OS05G34050,LOC_OS05G38710,LOC_OS06G41770,LOC_OS07G14270,LOC_OS07G26940,LOC_OS08G01180,LOC_OS08G29710,LOC_OS09G33780,LOC_OS09G38370,LOC_OS09G38620,LOC_OS11G09280,LOC_OS11G24560,LOC_OS11G29200,LOC_OS11G37980,LOC_OS12G02910"
"GO:CC","organelle membrane","GO:0031090","0.0004803276610431612","3.3184624025500877","635","192","26","12533","LOC_OS01G37690,LOC_OS01G38510,LOC_OS01G67330,LOC_OS02G02410,LOC_OS02G48350,LOC_OS02G56920,LOC_OS03G07570,LOC_OS03G13750,LOC_OS03G51920,LOC_OS05G09550,LOC_OS05G34050,LOC_OS05G38710,LOC_OS05G46290,LOC_OS06G41770,LOC_OS07G26940,LOC_OS08G01180,LOC_OS08G29710,LOC_OS09G38370,LOC_OS09G38620,LOC_OS09G39680,LOC_OS10G39410,LOC_OS10G41820,LOC_OS11G24560,LOC_OS11G29200,LOC_OS11G37980,LOC_OS12G02910"
"GO:CC","endoplasmic reticulum membrane","GO:0005789","0.005116871484123648","2.290995490676279","165","192","11","12533","LOC_OS01G38510,LOC_OS02G48350,LOC_OS02G56920,LOC_OS03G13750,LOC_OS05G09550,LOC_OS05G34050,LOC_OS06G41770,LOC_OS07G26940,LOC_OS09G38370,LOC_OS09G38620,LOC_OS11G24560"
"GO:CC","nuclear outer membrane-endoplasmic reticulum membrane network","GO:0042175","0.005407808040795624","2.266978732802888","166","192","11","12533","LOC_OS01G38510,LOC_OS02G48350,LOC_OS02G56920,LOC_OS03G13750,LOC_OS05G09550,LOC_OS05G34050,LOC_OS06G41770,LOC_OS07G26940,LOC_OS09G38370,LOC_OS09G38620,LOC_OS11G24560"
"GO:CC","vacuolar membrane","GO:0005774","0.011272655545412801","1.9479737633801497","95","192","8","12533","LOC_OS01G37690,LOC_OS02G02410,LOC_OS03G07570,LOC_OS05G38710,LOC_OS05G46290,LOC_OS08G01180,LOC_OS10G39410,LOC_OS10G41820"
"GO:CC","vacuole","GO:0005773","0.013399484635517826","1.8729119049378005","153","192","10","12533","LOC_OS01G37690,LOC_OS02G02410,LOC_OS03G07570,LOC_OS03G50130,LOC_OS05G38710,LOC_OS05G46290,LOC_OS07G48160,LOC_OS08G01180,LOC_OS10G39410,LOC_OS10G41820"
"GO:CC","membrane-bounded organelle","GO:0043227","0.01426582133958253","1.8457032192414047","4256","192","90","12533","LOC_OS01G04200,LOC_OS01G16350,LOC_OS01G34080,LOC_OS01G37690,LOC_OS01G38510,LOC_OS01G50010,LOC_OS01G51410,LOC_OS01G64960,LOC_OS01G66000,LOC_OS01G67054,LOC_OS01G67330,LOC_OS01G68950,LOC_OS01G74580,LOC_OS02G02400,LOC_OS02G02410,LOC_OS02G04160,LOC_OS02G12350,LOC_OS02G39160,LOC_OS02G39870,LOC_OS02G48350,LOC_OS02G51020,LOC_OS02G52270,LOC_OS02G56920,LOC_OS03G06630,LOC_OS03G07570,LOC_OS03G12370,LOC_OS03G13750,LOC_OS03G16874,LOC_OS03G20790,LOC_OS03G21490,LOC_OS03G31300,LOC_OS03G38960,LOC_OS03G49430,LOC_OS03G50130,LOC_OS03G51920,LOC_OS03G53340,LOC_OS03G61960,LOC_OS04G18090,LOC_OS04G32950,LOC_OS04G36750,LOC_OS04G41910,LOC_OS04G58710,LOC_OS05G02010,LOC_OS05G09550,LOC_OS05G28200,LOC_OS05G34050,LOC_OS05G34770,LOC_OS05G35330,LOC_OS05G38710,LOC_OS05G46290,LOC_OS05G47550,LOC_OS05G51110,LOC_OS06G02000,LOC_OS06G02620,LOC_OS06G06490,LOC_OS06G14240,LOC_OS06G29400,LOC_OS06G36930,LOC_OS06G40940,LOC_OS06G41770,LOC_OS06G51220,LOC_OS07G08970,LOC_OS07G14270,LOC_OS07G26940,LOC_OS07G48160,LOC_OS08G01180,LOC_OS08G24420,LOC_OS08G25090,LOC_OS08G29710,LOC_OS09G11250,LOC_OS09G19952,LOC_OS09G33780,LOC_OS09G35790,LOC_OS09G38370,LOC_OS09G38620,LOC_OS09G39380,LOC_OS09G39680,LOC_OS10G28340,LOC_OS10G28360,LOC_OS10G39410,LOC_OS10G41820,LOC_OS11G09160,LOC_OS11G09280,LOC_OS11G24560,LOC_OS11G29200,LOC_OS11G37980,LOC_OS12G02910,LOC_OS12G15470,LOC_OS12G32986,LOC_OS12G41930"
"GO:CC","organelle lumen","GO:0043233","0.030352164106850568","1.5178103383232642","345","192","15","12533","LOC_OS01G67054,LOC_OS01G74580,LOC_OS02G02410,LOC_OS02G39870,LOC_OS03G38960,LOC_OS05G34770,LOC_OS06G14240,LOC_OS07G14270,LOC_OS08G24420,LOC_OS08G25090,LOC_OS09G11250,LOC_OS09G39380,LOC_OS10G39410,LOC_OS11G09280,LOC_OS12G41930"
"GO:CC","intracellular organelle lumen","GO:0070013","0.030352164106850568","1.5178103383232642","345","192","15","12533","LOC_OS01G67054,LOC_OS01G74580,LOC_OS02G02410,LOC_OS02G39870,LOC_OS03G38960,LOC_OS05G34770,LOC_OS06G14240,LOC_OS07G14270,LOC_OS08G24420,LOC_OS08G25090,LOC_OS09G11250,LOC_OS09G39380,LOC_OS10G39410,LOC_OS11G09280,LOC_OS12G41930"
"GO:CC","membrane-enclosed lumen","GO:0031974","0.030352164106850568","1.5178103383232642","345","192","15","12533","LOC_OS01G67054,LOC_OS01G74580,LOC_OS02G02410,LOC_OS02G39870,LOC_OS03G38960,LOC_OS05G34770,LOC_OS06G14240,LOC_OS07G14270,LOC_OS08G24420,LOC_OS08G25090,LOC_OS09G11250,LOC_OS09G39380,LOC_OS10G39410,LOC_OS11G09280,LOC_OS12G41930"
"GO:CC","bounding membrane of organelle","GO:0098588","0.038741952409173996","1.4118184966999034","353","192","15","12533","LOC_OS01G37690,LOC_OS01G38510,LOC_OS01G67330,LOC_OS02G02410,LOC_OS03G07570,LOC_OS05G38710,LOC_OS05G46290,LOC_OS08G01180,LOC_OS08G29710,LOC_OS10G39410,LOC_OS10G41820,LOC_OS11G24560,LOC_OS11G29200,LOC_OS11G37980,LOC_OS12G02910"
"GO:CC","intracellular membrane-bounded organelle","GO:0043231","0.04737526581644286","1.3244483402472915","4144","192","86","12533","LOC_OS01G04200,LOC_OS01G16350,LOC_OS01G34080,LOC_OS01G37690,LOC_OS01G38510,LOC_OS01G51410,LOC_OS01G64960,LOC_OS01G66000,LOC_OS01G67054,LOC_OS01G67330,LOC_OS01G68950,LOC_OS01G74580,LOC_OS02G02400,LOC_OS02G02410,LOC_OS02G04160,LOC_OS02G12350,LOC_OS02G39160,LOC_OS02G39870,LOC_OS02G48350,LOC_OS02G51020,LOC_OS02G52270,LOC_OS02G56920,LOC_OS03G06630,LOC_OS03G07570,LOC_OS03G12370,LOC_OS03G13750,LOC_OS03G16874,LOC_OS03G20790,LOC_OS03G21490,LOC_OS03G31300,LOC_OS03G38960,LOC_OS03G49430,LOC_OS03G50130,LOC_OS03G51920,LOC_OS03G53340,LOC_OS03G61960,LOC_OS04G18090,LOC_OS04G32950,LOC_OS04G36750,LOC_OS04G41910,LOC_OS04G58710,LOC_OS05G02010,LOC_OS05G09550,LOC_OS05G28200,LOC_OS05G34050,LOC_OS05G34770,LOC_OS05G35330,LOC_OS05G38710,LOC_OS05G46290,LOC_OS05G51110,LOC_OS06G02000,LOC_OS06G02620,LOC_OS06G06490,LOC_OS06G14240,LOC_OS06G29400,LOC_OS06G36930,LOC_OS06G40940,LOC_OS06G41770,LOC_OS06G51220,LOC_OS07G08970,LOC_OS07G14270,LOC_OS07G48160,LOC_OS08G01180,LOC_OS08G24420,LOC_OS08G25090,LOC_OS08G29710,LOC_OS09G11250,LOC_OS09G19952,LOC_OS09G33780,LOC_OS09G35790,LOC_OS09G38370,LOC_OS09G38620,LOC_OS09G39380,LOC_OS09G39680,LOC_OS10G28340,LOC_OS10G28360,LOC_OS10G39410,LOC_OS10G41820,LOC_OS11G09160,LOC_OS11G09280,LOC_OS11G24560,LOC_OS11G37980,LOC_OS12G02910,LOC_OS12G15470,LOC_OS12G32986,LOC_OS12G41930"
